ID	IRAC_Designation	MIPS_Designation	MCPS_ID	IRSF_ID	IRAC_ID	MIPS_ID	OGLE_ID	RA	DEC	U	U_ERR	B	B_ERR	V	V_ERR	I	I_ERR	J	J_ERR	H	H_ERR	K	K_ERR	[3.6]	3.6ERR	[4.5]	4.5ERR	[5.8]	5.8ERR	[8.0]	8.0ERR	[24]	24ERR	ObjId	SSId	NAME	SpClass	RAJ2000	DEJ2000	AOR	PID	PI	Umag	Bmag	Vmag	Imag	OGLE3ID	<Vmag>	<Imag>	IAmp	Per	2MASS	J2mag	H2mag	Ks2mag	IRSF	Jmag	Hmag	Ksmag	IRAC	[3.6]2	[4.5]2	[5.8]2	[8.0]2	F3.6	F4.5	F5.8	F8.0	MIPS24	[24]	F24	MIPS70	[70]	F70	MIPS160	[160]	F160	HERSCHEL	RAHdeg	DEHdeg	F100P	F160P	F250S	F350S	F500S	mbolph	mbolMcD	TeffMcD	Flag	SSID	Name	SSTISAGE	MACHO	Per.1	Per2	u_Per	OGLE	PerO	Class	RAJ2000.1	DEJ2000.1
20860	SSTISAGEMA_J051953.27-692733.6	SSTM1SAGE1_J051953.24-692733.2	120490979	1007221139	1539400721	1529266345	0	79.971963	-69.45934	16.183	0.11	14.404	0.02	12.486	0.01	10.405	0.12	9.25	0.024	8.447	0.044	8.218	0.027	7.831	0.026	7.966	0.018	7.732	0.016	7.446	0.014	5.463	0.013	435	4323	                HV 5760	     RSG	79.9723	-69.4595	25688064	50167	     Clayton	16.183	14.404	12.486	10.405						2MASS J05195328-6927335	9.25	8.447	8.218	05195330-6927335				SSTISAGEMA J051953.27-692733.6	7.8351	7.9659	7.7351	7.4589	0.2063	0.117	0.0926	0.0674	SSTM1SAGE1 J051953.24-692733.2	5.5002	0.0452															-7.46	-7.33	3356	0												
24643	SSTISAGEMA_J052544.83-690448.8	SSTM1SAGE1_J052544.80-690448.9	113467691	1008699150	1540097157	1529265689	0	81.436793	-69.080246	15.903	0.06	15.164	0.02	13.516	0.01	99.999	99.999	9.178	0.024	8.336	0.047	7.993	0.021	7.592	0.034	7.64	0.027	7.35	0.019	6.885	0.018	4.722	0.008	512	4418	                 HV 957	     RSG	81.4368	-69.0803	25687552	50167	     Clayton	15.903	15.164	13.516							2MASS J05254484-6904488	9.178	8.336	7.993	05254485-6904489				SSTISAGEMA J052544.83-690448.8	7.598	7.6463	7.3528	6.896	0.2567	0.157	0.1317	0.1132	SSTM1SAGE1 J052544.80-690448.9	4.7687	0.0887															-7.58	-7.51	3251	0												
25748	SSTISAGEMA_J052634.78-685140.0	SSTM1SAGE1_J052634.84-685140.2	108607974	1008923397	1540197679	1529265351	0	81.644956	-68.861118	12.903	0.01	13.374	0.01	12.296	0.01	99.999	99.999	8.49	0.03	7.599	0.045	7.265	0.033	6.857	0.034	6.884	0.028	6.573	0.019	6.099	0.028	4.138	0.011	528	4441		     RSG	81.6453	-68.8611	10964224	3426	     Kastner	12.903	13.374	12.296							2MASS J05263479-6851400	8.49	7.599	7.265	05263483-6851400				SSTISAGEMA J052634.78-685140.0	6.8581	6.887	6.5723	6.1134	0.5074	0.316	0.2703	0.2328	SSTM1SAGE1 J052634.84-685140.2	4.0775	0.1677															-8.33	-8.42	3555	0												
26928	SSTISAGEMA_J052828.84-680708.0	SSTM1SAGE1_J052828.87-680707.7	121644731	1009424682	1540424252	1529265272	0	82.120189	-68.118907	16.633	0.07	14.504	0.01	12.356	0.01	99.999	99.999	8.609	0.029	7.801	0.029	7.477	0.021	6.859	0.028	6.86	0.025	6.606	0.019	6.212	0.024	3.984	0.009	550	4466	                HV 2561	     RSG	82.1204	-68.1189	10964480	3426	     Kastner	16.633	14.504	12.356							2MASS J05282886-6807078	8.609	7.801	7.477	05282886-6807081				SSTISAGEMA J052828.84-680708.0	6.8596	6.8578	6.6025	6.2243	0.5066	0.3246	0.2629	0.2102	SSTM1SAGE1 J052828.87-680707.7	4.0229	0.1764															-8.19	-8.1	3185	0												
27314	SSTISAGEMA_J052903.46-690646.2	SSTM1SAGE1_J052903.40-690646.0	119199546	1009580215	1540492817	1529265266	0	82.264428	-69.112843	17.762	0.106	15.844	0.086	13.762	0.027	99.999	99.999	9.095	0.02	8.263	0.029	7.901	0.02	7.519	0.029	7.451	0.026	7.19	0.019	6.637	0.016	3.96	0.009	563	4487	                HV 5870	     RSG	82.2647	-69.1129	11238912	3591	      Kemper	17.762	15.844	13.762							2MASS J05290348-6906461	9.095	8.263	7.901	05290348-6906462				SSTISAGEMA J052903.46-690646.2	7.5166	7.4524	7.1868	6.6514	0.2767	0.1877	0.1535	0.1418	SSTM1SAGE1 J052903.40-690646.0	3.9433	0.1898															-7.69	-7.48	3000	0												
29477	SSTISAGEMA_J053104.15-691903.0	SSTM1SAGE1_J053104.18-691902.9	122728773	1010122017	1540728380	1529265327	0	82.767333	-69.317524	17.846	0.049	15.751	0.045	14.395	0.036	99.999	99.999	9.022	0.021	8.06	0.038	7.627	0.031	6.905	0.045	6.891	0.03	6.492	0.018	5.858	0.025	4.094	0.007	580	4508	               HV 12998	     RSG	82.7674	-69.3175	10965760	3426	     Kastner	17.846	15.751	14.395							2MASS J05310418-6919030	9.022	8.06	7.627	05310419-6919031				SSTISAGEMA J053104.15-691903.0	6.9165	6.8801	6.4907	5.8679	0.4808	0.318	0.2914	0.2918	SSTM1SAGE1 J053104.18-691902.9	4.1367	0.1588															-7.92	-7.78	2875	0												
32114	SSTISAGEMA_J053524.51-690403.4	SSTM1SAGE1_J053524.51-690403.3	123699030	1011280802	1541206989	1529265815	0	83.852146	-69.067621	18.577	0.089	15.951	0.021	14.165	0.047	99.999	99.999	9.567	0.021	8.657	0.021	8.234	0.033	7.795	0.026	7.779	0.027	7.481	0.02	7.053	0.015	4.897	0.016	628	4569	               HV 11088	     RSG	83.8525	-69.0676	11238912	3591	      Kemper	18.577	15.951	14.165							2MASS J05352452-6904034	9.567	8.657	8.234	05352452-6904032				SSTISAGEMA J053524.51-690403.4	7.7926	7.7788	7.4808	7.065	0.2146	0.139	0.1171	0.0969	SSTM1SAGE1 J053524.51-690403.3	4.8749	0.0805															-7.27	-7.12	3000	0												
35773	SSTISAGEMA_J054024.46-692116.9	SSTM1SAGE1_J054024.38-692116.8	111081231	1012532360	1541685410	1529265591	0	85.101938	-69.354718	15.753	0.04	15.164	0.01	13.186	0.01	10.423	0.117	9.14	0.034	8.259	0.027	7.854	0.027	7.515	0.036	7.554	0.03	7.219	0.019	6.733	0.018	4.555	0.009	717	4718		     RSG	85.1018	-69.3548	11239424	3591	      Kemper	15.753	15.164	13.186	10.423						2MASS J05402444-6921169	9.14	8.259	7.854	05402446-6921171				SSTISAGEMA J054024.46-692116.9	7.5158	7.5558	7.2213	6.7474	0.2768	0.1707	0.1487	0.1298	SSTM1SAGE1 J054024.38-692116.8	4.5984	0.1038															-7.62	-7.5	3269	0												
36113	SSTISAGEMA_J054043.74-692158.0	SSTM1SAGE1_J054043.63-692158.0	118798404	1012602942	1541714094	1529265646	0	85.182282	-69.366121	17.639	0.058	15.294	0.01	13.576	0.01	10.494	0.06	8.819	0.021	7.909	0.04	7.445	0.024	7.056	0.044	7.042	0.025	6.674	0.018	6.132	0.023	4.648	0.009	722	4724	                HV 5993	     RSG	85.1823	-69.3661	10969600	3426	     Kastner	17.639	15.294	13.576	10.494						2MASS J05404375-6921581	8.819	7.909	7.445	05404377-6921582				SSTISAGEMA J054043.74-692158.0	7.0563	7.0394	6.6735	6.1439	0.4227	0.2747	0.2462	0.2263	SSTM1SAGE1 J054043.63-692158.0	4.6562	0.0984															-7.9	-7.76	3058	0												
36775	SSTISAGEMA_J054055.33-692325.2	SSTM1SAGE1_J054055.26-692325.3	118984684	1012644127	1541731328	1529265860	0	85.230546	-69.390343	17.013	0.12	15.154	0.01	12.956	0.01	10.48	0.071	8.827	0.02	7.873	0.033	7.544	0.018	7.28	0.033	7.395	0.025	7.128	0.019	6.847	0.018	4.972	0.011	730	4733		     RSG	85.2303	-69.3904	25688576	50167	     Clayton	17.013	15.154	12.956	10.48						2MASS J05405532-6923252	8.827	7.873	7.544	05405531-6923252				SSTISAGEMA J054055.33-692325.2	7.2751	7.3961	7.129	6.8574	0.3456	0.1978	0.1619	0.1173	SSTM1SAGE1 J054055.26-692325.3	4.9715	0.0736															-7.84	-7.72	3159	0												
